file,original,canonical
2009.csv,año_ocu,anio_ocu
2009.csv,areag_ocu,area_geo_ocu
2009.csv,causa_acc,causa_acc
2009.csv,color_vehi,color_veh
2009.csv,depto_ocu,depto_ocu
2009.csv,dia_ocu,dia_ocu
2009.csv,dia_sem_ocu,dia_sem_ocu
2009.csv,edad_pil,edad_pil
2009.csv,estado_pil,estado_pil
2009.csv,g_edad_pil,g_edad_pil
2009.csv,hora_ocu,hora_ocu
2009.csv,mes_ocu,mes_ocu
2009.csv,modelo_vehi,modelo_veh
2009.csv,num_hecho,num_corre
2009.csv,sexo_pil,sexo_pil
2009.csv,tipo_vehi,tipo_veh
2010.csv,año_ocu,anio_ocu
2010.csv,areag_ocu,area_geo_ocu
2010.csv,causa_ac,causa_ac
2010.csv,color_v,color_v
2010.csv,depto_ocu,depto_ocu
2010.csv,dia_ocu,dia_ocu
2010.csv,dia_sem_ocu,dia_sem_ocu
2010.csv,edad_pil,edad_pil
2010.csv,estado_pil,estado_pil
2010.csv,hora_ocu,hora_ocu
2010.csv,mes_ocu,mes_ocu
2010.csv,modelo_v,modelo_v
2010.csv,sexo_pil,sexo_pil
2010.csv,tipo_v,tipo_v
2010.csv,zona_ocu,zona_ocu
2011.csv,año_ocu,anio_ocu
2011.csv,areag_ocu,area_geo_ocu
2011.csv,causa_acc,causa_acc
2011.csv,color_vehi,color_veh
2011.csv,depto_ocu,depto_ocu
2011.csv,dia_ocu,dia_ocu
2011.csv,dia_sem_ocu,dia_sem_ocu
2011.csv,edad_m1,edad_m1
2011.csv,edad_pil,edad_pil
2011.csv,estado_pil,estado_pil
2011.csv,g_edad_pil,g_edad_pil
2011.csv,hora_ocu,hora_ocu
2011.csv,marca_vehi,marca_veh
2011.csv,mes_ocu,mes_ocu
2011.csv,modelo_vehi,modelo_veh
2011.csv,muni_ocu,muni_ocu
2011.csv,num_hecho,num_corre
2011.csv,sexo_pil,sexo_pil
2011.csv,tipo_vehiculo,tipo_veh
2011.csv,zona_ocu,zona_ocu
2012.csv,año_ocu,anio_ocu
2012.csv,areag_ocu,area_geo_ocu
2012.csv,causa_acc,causa_acc
2012.csv,color_vehi,color_veh
2012.csv,condicion_pil,condicion_pil
2012.csv,depto_ocu,depto_ocu
2012.csv,dia_ocu,dia_ocu
2012.csv,dia_sem_ocu,dia_sem_ocu
2012.csv,edad_m1,edad_m1
2012.csv,edad_pil,edad_pil
2012.csv,g_edad,g_edad
2012.csv,hora_ocu,hora_ocu
2012.csv,mes_ocu,mes_ocu
2012.csv,mupio_ocu,muni_ocu
2012.csv,num_hecho,num_corre
2012.csv,sexo_pil,sexo_pil
2012.csv,tipo_vehi,tipo_veh
2012.csv,zona_ocu,zona_ocu
2013.csv,año_ocu,anio_ocu
2013.csv,areag_ocu,area_geo_ocu
2013.csv,causa_acc,causa_acc
2013.csv,color_veh,color_veh
2013.csv,depto_ocu,depto_ocu
2013.csv,dia_ocu,dia_ocu
2013.csv,dia_sem_ocu,dia_sem_ocu
2013.csv,edad_pil,edad_pil
2013.csv,estado_pil,estado_pil
2013.csv,g_edad_2,g_edad_2
2013.csv,g_hora,g_hora
2013.csv,hora_ocu,hora_ocu
2013.csv,marca_veh,marca_veh
2013.csv,mayor_menor,mayor_menor
2013.csv,mes_ocu,mes_ocu
2013.csv,modelo_veh,modelo_veh
2013.csv,mupio_ocu,muni_ocu
2013.csv,num_hecho,num_corre
2013.csv,sexo_pil,sexo_pil
2013.csv,tipo_veh,tipo_veh
2013.csv,zona_ocu,zona_ocu
2014.csv,año_ocu,anio_ocu
2014.csv,área_geo_ocu,area_geo_ocu
2014.csv,color_veh,color_veh
2014.csv,depto_ocu,depto_ocu
2014.csv,día_ocu,dia_ocu
2014.csv,día_sem_ocu,dia_sem_ocu
2014.csv,edad_con,edad_con
2014.csv,estado_con,estado_con
2014.csv,g_edad,g_edad
2014.csv,g_hora,g_hora
2014.csv,hora_ocu,hora_ocu
2014.csv,marca_veh,marca_veh
2014.csv,mayor_menor,mayor_menor
2014.csv,mes_ocu,mes_ocu
2014.csv,modelo_veh,modelo_veh
2014.csv,mupio_ocu,muni_ocu
2014.csv,corre_base,num_corre
2014.csv,num_correlativo,num_corre
2014.csv,sexo_con,sexo_con
2014.csv,tipo_eve,tipo_eve
2014.csv,tipo_veh,tipo_veh
2014.csv,zona_ocu,zona_ocu
2015.csv,año_ocu,anio_ocu
2015.csv,área_geo_ocu,area_geo_ocu
2015.csv,color_veh,color_veh
2015.csv,depto_ocu,depto_ocu
2015.csv,día_ocu,dia_ocu
2015.csv,día_sem_ocu,dia_sem_ocu
2015.csv,edad_per,edad_per
2015.csv,edad_quinquenales,edad_quinquenales
2015.csv,estado_con,estado_con
2015.csv,g_edad_60ymás,g_edad_60ymas
2015.csv,g_edad_80ymás,g_edad_80ymas
2015.csv,g_hora,g_hora
2015.csv,g_hora_5,g_hora_5
2015.csv,g_modelo_veh,g_modelo_veh
2015.csv,hora_ocu,hora_ocu
2015.csv,marca_veh,marca_veh
2015.csv,mayor_menor,mayor_menor
2015.csv,mes_ocu,mes_ocu
2015.csv,modelo_veh,modelo_veh
2015.csv,mupio_ocu,muni_ocu
2015.csv,núm_corre,num_corre
2015.csv,sexo_per,sexo_per
2015.csv,tipo_eve,tipo_eve
2015.csv,tipo_veh,tipo_veh
2015.csv,zona_ocu,zona_ocu
2016.csv,año_ocu,anio_ocu
2016.csv,área_geo_ocu,area_geo_ocu
2016.csv,color_veh,color_veh
2016.csv,depto_ocu,depto_ocu
2016.csv,día_ocu,dia_ocu
2016.csv,día_sem_ocu,dia_sem_ocu
2016.csv,g_hora,g_hora
2016.csv,g_hora_5,g_hora_5
2016.csv,g_modelo_veh,g_modelo_veh
2016.csv,hora_ocu,hora_ocu
2016.csv,marca_veh,marca_veh
2016.csv,mes_ocu,mes_ocu
2016.csv,modelo_veh,modelo_veh
2016.csv,mupio_ocu,muni_ocu
2016.csv,núm_corre,num_corre
2016.csv,tipo_eve,tipo_eve
2016.csv,tipo_veh,tipo_veh
2016.csv,zona_ocu,zona_ocu
2017.csv,año_ocu,anio_ocu
2017.csv,color_veh,color_veh
2017.csv,depto_ocu,depto_ocu
2017.csv,día_ocu,dia_ocu
2017.csv,día_sem_ocu,dia_sem_ocu
2017.csv,g_hora,g_hora
2017.csv,g_hora_5,g_hora_5
2017.csv,g_modelo_veh,g_modelo_veh
2017.csv,hora_ocu,hora_ocu
2017.csv,marca_veh,marca_veh
2017.csv,mes_ocu,mes_ocu
2017.csv,modelo_veh,modelo_veh
2017.csv,mupio_ocu,muni_ocu
2017.csv,núm_corre,num_corre
2017.csv,tipo_eve,tipo_eve
2017.csv,tipo_veh,tipo_veh
2017.csv,zona_ocu,zona_ocu
2018__Sheet1.csv,año_ocu,anio_ocu
2018__Sheet1.csv,color_veh,color_veh
2018__Sheet1.csv,depto_ocu,depto_ocu
2018__Sheet1.csv,día_ocu,dia_ocu
2018__Sheet1.csv,día_sem_ocu,dia_sem_ocu
2018__Sheet1.csv,g_hora,g_hora
2018__Sheet1.csv,g_hora_5,g_hora_5
2018__Sheet1.csv,g_modelo_veh,g_modelo_veh
2018__Sheet1.csv,hora_ocu,hora_ocu
2018__Sheet1.csv,marca_veh,marca_veh
2018__Sheet1.csv,mes_ocu,mes_ocu
2018__Sheet1.csv,modelo_veh,modelo_veh
2018__Sheet1.csv,mupio_ocu,muni_ocu
2018__Sheet1.csv,núm_corre,num_corre
2018__Sheet1.csv,tipo_eve,tipo_eve
2018__Sheet1.csv,tipo_veh,tipo_veh
2018__Sheet1.csv,zona_ocu,zona_ocu
20199__Sheet1.csv,año_ocu,anio_ocu
20199__Sheet1.csv,color_veh,color_veh
20199__Sheet1.csv,depto_ocu,depto_ocu
20199__Sheet1.csv,día_ocu,dia_ocu
20199__Sheet1.csv,día_sem_ocu,dia_sem_ocu
20199__Sheet1.csv,g_hora,g_hora
20199__Sheet1.csv,g_hora_5,g_hora_5
20199__Sheet1.csv,g_modelo_veh,g_modelo_veh
20199__Sheet1.csv,hora_ocu,hora_ocu
20199__Sheet1.csv,marca_veh,marca_veh
20199__Sheet1.csv,mes_ocu,mes_ocu
20199__Sheet1.csv,modelo_veh,modelo_veh
20199__Sheet1.csv,mupio_ocu,muni_ocu
20199__Sheet1.csv,núm_corre,num_corre
20199__Sheet1.csv,tipo_eve,tipo_eve
20199__Sheet1.csv,tipo_veh,tipo_veh
20199__Sheet1.csv,zona_ocu,zona_ocu
2020__Sheet1.csv,Año_ocu,anio_ocu
2020__Sheet1.csv,color_veh,color_veh
2020__Sheet1.csv,depto_ocu,depto_ocu
2020__Sheet1.csv,Día_ocu,dia_ocu
2020__Sheet1.csv,día_sem_ocu,dia_sem_ocu
2020__Sheet1.csv,g_hora,g_hora
2020__Sheet1.csv,g_hora_5,g_hora_5
2020__Sheet1.csv,g_modelo_veh,g_modelo_veh
2020__Sheet1.csv,Hora_ocu,hora_ocu
2020__Sheet1.csv,marca_veh,marca_veh
2020__Sheet1.csv,Mes_ocu,mes_ocu
2020__Sheet1.csv,modelo_veh,modelo_veh
2020__Sheet1.csv,mupio_ocu,muni_ocu
2020__Sheet1.csv,Núm_corre,num_corre
2020__Sheet1.csv,tipo_eve,tipo_eve
2020__Sheet1.csv,tipo_veh,tipo_veh
2020__Sheet1.csv,zona_ocu,zona_ocu
2021.csv,año_ocu,anio_ocu
2021.csv,color_veh,color_veh
2021.csv,depto_ocu,depto_ocu
2021.csv,día_ocu,dia_ocu
2021.csv,día_sem_ocu,dia_sem_ocu
2021.csv,g_hora,g_hora
2021.csv,g_hora_5,g_hora_5
2021.csv,g_modelo_veh,g_modelo_veh
2021.csv,hora_ocu,hora_ocu
2021.csv,marca_veh,marca_veh
2021.csv,mes_ocu,mes_ocu
2021.csv,modelo_veh,modelo_veh
2021.csv,mupio_ocu,muni_ocu
2021.csv,núm_corre,num_corre
2021.csv,tipo_eve,tipo_eve
2021.csv,tipo_veh,tipo_veh
2021.csv,zona_ciudad,zona_ciudad
2021.csv,zona_ocu,zona_ocu
2022__Sheet1.csv,año_ocu,anio_ocu
2022__Sheet1.csv,color_veh,color_veh
2022__Sheet1.csv,depto_ocu,depto_ocu
2022__Sheet1.csv,día_ocu,dia_ocu
2022__Sheet1.csv,día_sem_ocu,dia_sem_ocu
2022__Sheet1.csv,g_hora,g_hora
2022__Sheet1.csv,g_hora_5,g_hora_5
2022__Sheet1.csv,g_modelo_veh,g_modelo_veh
2022__Sheet1.csv,hora_ocu,hora_ocu
2022__Sheet1.csv,marca_veh,marca_veh
2022__Sheet1.csv,mes_ocu,mes_ocu
2022__Sheet1.csv,modelo_veh,modelo_veh
2022__Sheet1.csv,mupio_ocu,muni_ocu
2022__Sheet1.csv,num_corre,num_corre
2022__Sheet1.csv,tipo_eve,tipo_eve
2022__Sheet1.csv,tipo_veh,tipo_veh
2022__Sheet1.csv,zona_ocu,zona_ocu
20233__Sheet1.csv,año_ocu,anio_ocu
20233__Sheet1.csv,color_veh,color_veh
20233__Sheet1.csv,depto_ocu,depto_ocu
20233__Sheet1.csv,día_ocu,dia_ocu
20233__Sheet1.csv,día_sem_ocu,dia_sem_ocu
20233__Sheet1.csv,g_hora,g_hora
20233__Sheet1.csv,g_hora_5,g_hora_5
20233__Sheet1.csv,g_modelo_veh,g_modelo_veh
20233__Sheet1.csv,hora_ocu,hora_ocu
20233__Sheet1.csv,marca_veh,marca_veh
20233__Sheet1.csv,mes_ocu,mes_ocu
20233__Sheet1.csv,modelo_veh,modelo_veh
20233__Sheet1.csv,mupio_ocu,muni_ocu
20233__Sheet1.csv,núm_corre,num_corre
20233__Sheet1.csv,tipo_eve,tipo_eve
20233__Sheet1.csv,tipo_veh,tipo_veh
20233__Sheet1.csv,zona_ocu,zona_ocu
